"Time (s)","Input voltage (V)","Angular velocity (rad/s)"
7060.74,0,0
7060.76,1.01639,0
7060.78,1.01534,0
7060.8,1.00854,6.21042
7060.82,1.00749,3.77151
7060.84,1.00697,7.29523
7060.86,1.00906,9.8784
7060.88,2.01812,13.4479
7060.9,2.01708,14.7982
7060.92,1.96263,19.6025
7060.94,1.96996,24.6231
7060.96,1.96472,30.5651
7060.98,1.96367,35.9493
7061,1.96891,41.6886
7061.02,1.971,46.7122
7061.04,1.9731,51.5701
7061.06,1.971,55.6999
7061.08,1.97519,61.5259
7061.1,1.97624,63.3866
7061.12,1.97729,68.4689
7061.14,1.97624,72.0163
7061.16,1.97938,78.2218
7061.18,1.98043,79.2919
7061.2,1.97833,82.9307
7061.22,1.98357,89.2195
7061.24,1.98252,89.974
7061.26,1.98566,93.5103
7061.28,1.98776,98.072
7061.3,1.98776,101.681
7061.32,1.98566,102.282
7061.34,1.99195,105.529
7061.36,1.98985,108.178
7061.38,1.9888,108.924
7061.4,1.9909,113.179
7061.42,1.99299,115.203
7061.44,1.99299,116.876
7061.46,1.99195,120.258
7061.48,1.9909,121.466
7061.5,1.99509,122.982
7061.52,1.99299,126.625
7061.54,1.99613,125.064
7061.56,1.99509,128.536
7061.58,1.99404,129.316
7061.6,1.99613,131.39
7061.62,1.99404,132.721
7061.64,1.99718,134.472
7061.66,1.99927,136.024
7061.68,1.99823,136.165
7061.7,2.00032,142.034
7061.72,1.99927,140.152
7061.74,2.00137,141.333
7061.76,2.00137,141.674
7061.78,1.99927,142.795
7061.8,2.00032,146.369
7061.82,2.00137,144.444
7061.84,2.00032,147.974
7061.86,2.00137,146.917
7061.88,2.00137,150.731
7061.9,2.00346,148.2
7061.92,2.00451,150.352
7061.94,2.00137,148.722
7061.96,2.00242,153.11
7061.98,2.00242,151.727
7062,2.00242,154.543
7062.02,2.00242,152.484
7062.04,2.00556,157.938
7062.06,2.0066,155.541
7062.08,2.00556,157.3
7062.1,2.0066,155.667
7062.12,2.0066,158.636
7062.14,2.00765,156.231
7062.16,2.00556,161.289
7062.18,2.00765,158.672
7062.2,2.0066,159.627
7062.22,2.0066,159.194
7062.24,2.0066,161.202
7062.26,2.00451,159.535
7062.28,2.00765,162.759
7062.3,2.0066,160.298
7062.32,2.0066,165.299
7062.34,2.00451,161.86
7062.36,2.00765,167.343
7062.38,2.00556,162.512
7062.4,2.00556,165.988
7062.42,2.00765,163.479
7062.44,2.00556,166.425
7062.46,2.00975,164.476
7062.48,2.0087,167.16
7062.5,2.0087,166.683
7062.52,2.01079,166.283
7062.54,2.0087,165.853
7062.56,2.0087,166.157
7062.58,2.00765,168.256
7062.6,2.00975,165.571
7062.62,2.0087,168.68
7062.64,2.01184,167.029
7062.66,2.0066,172.247
7062.68,2.0087,168.42
7062.7,2.00975,168.999
7062.72,2.0087,167.186
7062.74,2.00765,171.453
7062.76,2.01079,168.649
7062.78,2.00975,170.331
7062.8,2.00975,170.435
7062.82,2.00975,170.804
7062.84,2.00975,169.215
7062.86,2.01079,168.897
7062.88,2.01079,171.478
7062.9,2.01184,169.54
7062.92,2.01184,171.64
7062.94,2.01184,170.12
7062.96,2.01184,175.474
7062.98,2.01289,171.291
7063,2.01079,171.985
7063.02,2.01289,171.52
7063.04,2.01184,172.419
7063.06,2.00975,172.867
7063.08,2.00765,172.031
7063.1,2.01289,173.791
7063.12,2.00975,171.623
7063.14,2.00975,173.326
7063.16,2.01289,171.249
7063.18,2.01079,173.518
7063.2,2.00975,172.228
7063.22,2.00975,173.014
7063.24,2.0087,175.799
7063.26,2.01079,173.55
7063.28,2.01289,173.605
7063.3,2.01289,173.091
7063.32,2.01289,175.543
7063.34,2.00975,172.236
7063.36,2.01184,175.113
7063.38,2.01289,173.905
7063.4,2.01079,174.595
7063.42,2.01393,172.255
7063.44,2.01184,173.881
7063.46,2.00975,174.604
7063.48,2.01079,173.468
7063.5,2.01079,175.215
7063.52,2.01393,174.526
7063.54,2.01079,178.326
7063.56,2.01079,174.218
7063.58,2.01289,174.122
7063.6,2.00975,174.43
7063.62,2.01079,174.48
7063.64,2.01079,177.406
7063.66,2.01079,173.033
7063.68,2.01289,177.874
7063.7,2.01289,173.515
7063.72,2.01393,174.333
7063.74,2.01184,173.279
7063.76,2.01184,176.007
7063.78,2.01498,175.571
7063.8,2.01393,174.476
7063.82,2.01289,178.18
7063.84,2.01393,175.157
7063.86,2.01184,175.146
7063.88,2.01079,173.936
7063.9,2.00975,176.01
7063.92,2.00975,175.281
7063.94,2.01079,176.951
7063.96,2.01079,175.28
7063.98,2.0087,174.942
7064,2.0087,175.494
7064.02,2.01184,173.814
7064.04,2.01184,175.782
7064.06,2.01289,174.237
7064.08,2.01079,176.419
7064.1,2.01393,176.956
7064.12,2.01393,177.017
7064.14,2.01289,175.696
7064.16,2.01289,175.317
7064.18,2.01289,177.636
7064.2,2.01393,173.888
7064.22,2.01603,177.786
7064.24,2.01289,175.941
7064.26,2.01184,175.908
7064.28,2.01079,176.088
7064.3,2.01184,174.001
7064.32,2.01184,177.067
7064.34,2.01079,174.932
7064.36,2.01184,175.85
7064.38,2.01289,176.189
7064.4,2.0087,178.695
7064.42,2.01079,175.729
7064.44,2.00975,174.474
7064.46,2.01184,177.535
7064.48,2.01393,175.176
7064.5,2.01393,177.218
7064.52,2.01498,174.942
7064.54,2.01498,178.473
7064.56,2.01184,174.41
7064.58,2.01184,175.742
7064.6,2.01184,175.092
7064.62,2.01393,175.494
7064.64,2.01184,177.049
7064.66,2.01079,174.784
7064.68,2.01079,179.672
7064.7,2.01079,176.238
7064.72,2.01289,175.806
7064.74,2.00975,176.295
7064.76,2.0087,176.433
7064.78,2.01184,177.265
7064.8,2.01079,176.722
7064.82,2.01079,176.709
7064.84,2.01184,176.114
7064.86,2.01498,176.929
7064.88,2.01498,173.682
7064.9,2.01498,176.636
7064.92,2.01289,176.419
7064.94,2.01393,177.21
7064.96,2.01393,178.845
7064.98,2.01184,175.068
7065,2.01393,178.342
7065.02,2.01393,175.1
7065.04,2.01289,177.797
7065.06,2.01289,174.572
7065.08,2.00975,178.212
7065.1,2.01184,176.951
7065.12,2.00975,177.005
7065.14,2.01393,174.661
7065.16,2.01289,175.327
7065.18,2.01079,178.32
7065.2,2.00975,174.278
7065.22,2.01184,177.569
7065.24,2.01289,176.859
7065.26,2.01184,179.451
7065.28,2.01393,176.388
7065.3,2.01079,175.859
7065.32,2.01289,178.187
7065.34,2.01393,174.998
7065.36,2.01393,178.407
7065.38,2.01289,176.633
7065.4,2.01393,177.209
7065.42,2.01393,177.089
7065.44,2.01393,174.683
7065.46,2.01289,178.339
7065.48,2.01289,174.552
7065.5,2.01184,177.528
7065.52,2.01289,175.241
7065.54,2.01079,180.448
7065.56,2.01184,177.298
7065.58,2.01289,176.191
7065.6,2.01079,176.676
7065.62,2.01079,175.489
7065.64,2.01184,179.598
7065.66,2.01079,175.319
7065.68,2.01289,177.075
7065.7,2.01289,175.961
7065.72,2.01079,176.424
7065.74,2.01393,176.114
7065.76,2.01603,175.407
7065.78,2.01184,177.36
7065.8,2.01289,174.9
7065.82,2.01393,180.842
7065.84,2.01289,175.844
7065.86,2.01498,178.081
7065.88,2.01079,175.362
7065.9,2.01079,176.694
7065.92,2.01079,177.216
7065.94,2.0087,177.939
7065.96,2.01184,178.006
7065.98,2.01289,174.107
7066,2.01079,177.592
7066.02,2.01079,175.565
7066.04,2.01393,176.883
7066.06,2.01393,176.284
7066.08,2.01184,176.949
7066.1,2.01079,180.565
7066.12,3.02561,175.981
7066.14,2.99106,176.628
7066.16,2.93766,178.709
7066.18,2.93295,182.509
7066.2,2.93766,185.649
7066.22,2.94394,188.826
7066.24,2.9408,194.194
7066.26,2.94237,192.839
7066.28,2.93609,197.329
7066.3,2.93923,202.169
7066.32,2.94394,201.302
7066.34,2.94237,207.902
7066.36,2.94551,210.67
7066.38,2.95022,212.583
7066.4,2.94865,214.566
7066.42,2.95022,215.772
7066.44,2.95493,218.484
7066.46,2.95808,221.599
7066.48,2.95808,223.861
7066.5,2.96122,224.761
7066.52,2.96122,224.797
7066.54,2.9675,228.723
7066.56,2.96593,230.641
7066.58,2.96122,230.53
7066.6,2.96593,236.512
7066.62,2.96593,236.191
7066.64,2.96907,237.225
7066.66,2.97064,236.817
7066.68,2.96907,241.063
7066.7,2.96593,242.323
7066.72,2.9675,241.014
7066.74,2.97221,242.641
7066.76,2.97692,243.424
7066.78,2.97221,245.588
7066.8,2.97064,251.133
7066.82,2.96907,248.893
7066.84,2.97692,248.948
7066.86,2.97378,250.384
7066.88,2.97849,252.576
7066.9,2.97535,253.45
7066.92,2.98164,252.502
7066.94,2.98164,252.67
7066.96,2.98321,254.423
7066.98,2.98321,256.228
7067,2.97692,260.156
7067.02,2.98321,258.932
7067.04,2.97849,257.638
7067.06,2.98006,258.519
7067.08,2.98321,260.8
7067.1,2.98006,260.047
7067.12,2.98006,260.076
7067.14,2.97849,262.764
7067.16,2.98321,260.789
7067.18,2.98006,262.569
7067.2,2.98478,264.658
7067.22,2.98164,265.502
7067.24,2.98321,264.27
7067.26,2.98635,265.29
7067.28,2.99106,267.65
7067.3,2.98635,264.795
7067.32,2.98792,265.429
7067.34,2.98949,266.301
7067.36,2.98792,267.663
7067.38,2.98792,270.863
7067.4,2.98792,268.741
7067.42,2.98792,269.222
7067.44,2.98792,268.35
7067.46,2.99106,269.986
7067.48,2.98635,270.382
7067.5,2.98792,268.859
7067.52,2.99106,271.231
7067.54,2.98792,270.83
7067.56,2.98792,272.893
7067.58,2.98949,272.871
7067.6,2.99106,272.538
7067.62,2.99106,271.433
7067.64,2.98792,273.969
7067.66,2.99263,273.127
7067.68,2.99106,274.196
7067.7,2.9942,273.723
7067.72,2.99577,272.483
7067.74,2.99106,274.191
7067.76,2.99577,276.589
7067.78,2.9942,274.769
7067.8,2.99263,275.477
7067.82,2.99263,275.02
7067.84,2.99263,276.616
7067.86,2.99734,273.693
7067.88,2.98949,276.109
7067.9,2.99106,273.94
7067.92,2.9942,275.28
7067.94,2.9942,279.545
7067.96,2.99106,276.599
7067.98,2.99263,277.878
7068,2.99106,277.093
7068.02,2.99577,278.137
7068.04,2.99577,275.718
7068.06,2.99263,276.072
7068.08,2.99734,277.637
7068.1,2.99734,276.802
7068.12,3.00205,281.431
7068.14,2.99734,277.831
7068.16,2.99577,277.584
7068.18,2.99734,280.489
7068.2,2.99891,277.829
7068.22,2.99734,278.306
7068.24,3.00205,276.363
7068.26,2.99577,277.629
7068.28,2.9942,278.774
7068.3,2.99577,281.502
7068.32,2.99263,279.963
7068.34,2.99734,278.941
7068.36,2.98949,280.011
7068.38,2.99734,280.013
7068.4,2.99577,278.465
7068.42,2.99263,278.89
7068.44,2.99734,279.174
7068.46,2.99734,277.987
7068.48,2.99891,284.476
7068.5,2.99577,278.926
7068.52,3.00048,281.406
7068.54,2.99734,281.857
7068.56,2.99577,279.743
7068.58,2.99734,279.392
7068.6,2.99577,279.632
7068.62,3.00048,279.417
7068.64,3.00048,280.522
7068.66,2.99734,283.491
7068.68,2.99734,281.357
7068.7,2.99577,280.629
7068.72,2.99891,282.392
7068.74,2.9942,282.913
7068.76,2.99577,280.956
7068.78,2.99734,280.045
7068.8,2.99577,279.567
7068.82,2.99734,281.37
7068.84,2.99891,285.461
7068.86,2.99263,282.372
7068.88,2.99891,281.707
7068.9,3.00362,282.209
7068.92,2.99891,282.311
7068.94,3.00048,280.67
7068.96,2.99734,282.145
7068.98,2.99891,280.677
7069,3.00362,281.661
7069.02,3.00048,284.293
7069.04,2.99891,280.795
7069.06,2.99734,283.469
7069.08,2.99577,283.576
7069.1,2.9942,282.314
7069.12,3.00205,281.511
7069.14,2.9942,281.309
7069.16,2.9942,282.867
7069.18,3.00048,283.388
7069.2,2.99734,283.835
7069.22,2.99577,282.707
7069.24,2.99891,280.663
7069.26,2.99891,284.686
7069.28,2.99734,283.237
7069.3,3.00205,282.124
7069.32,3.00048,282.193
7069.34,3.00048,281.455
7069.36,3.00048,285.147
7069.38,2.99891,283.826
7069.4,3.00048,282.346
7069.42,3.00048,282.417
7069.44,3.00205,284.077
7069.46,3.00048,284.035
7069.48,2.99891,280.745
7069.5,2.99577,284.302
7069.52,2.99577,282.259
7069.54,2.99891,287.171
7069.56,2.99577,283.154
7069.58,2.99734,282.741
7069.6,2.99577,282.796
7069.62,2.99577,283.286
7069.64,2.99734,284.536
7069.66,2.99577,282.251
7069.68,3.00048,283.635
7069.7,3.00048,282.873
7069.72,3.00362,285.35
7069.74,3.00205,284.961
7069.76,3.00048,282.442
7069.78,3.00048,284.866
7069.8,3.00205,283.676
7069.82,3.00048,282.707
7069.84,3.00205,281.917
7069.86,3.00519,283.477
7069.88,3.00048,285.305
7069.9,2.99734,286.315
7069.92,2.99891,285.062
7069.94,2.99891,284.25
7069.96,2.99577,282.872
7069.98,2.99734,285.946
7070,2.99577,281.936
7070.02,2.99891,282.819
7070.04,2.99891,283.386
7070.06,3.00048,283.172
7070.08,2.99891,287.342
7070.1,3.00519,283.514
7070.12,3.00205,284.758
7070.14,3.00519,284.554
7070.16,3.00362,284.832
7070.18,3.00205,281.912
7070.2,2.99734,283.26
7070.22,3.00048,282.96
7070.24,3.00519,284.019
7070.26,3.00048,287.095
7070.28,3.00362,284.049
7070.3,2.99891,284.39
7070.32,3.00048,284.576
7070.34,3.00048,284.437
7070.36,2.99734,284.569
7070.38,2.99734,282.574
7070.4,2.99734,283.143
7070.42,2.99891,284.332
7070.44,2.99577,284.546
7070.46,2.99734,284.235
7070.48,3.00362,284.26
7070.5,2.99891,284.355
7070.52,3.00205,284.56
7070.54,2.99891,282.544
7070.56,3.00519,285.439
7070.58,3.00205,282.933
7070.6,3.00048,286.827
7070.62,3.00048,285.415
7070.64,3.00048,282.275
7070.66,2.99891,285.538
7070.68,2.99734,283.827
7070.7,2.99577,285.213
7070.72,3.00048,283.329
7070.74,3.00205,283.63
7070.76,3.00048,284.578
7070.78,3.00048,286.785
7070.8,2.99891,285.464
7070.82,3.00362,283.653
7070.84,2.99734,284.629
7070.86,2.99577,284.115
7070.88,3.00362,283.573
7070.9,3.00048,283.337
7070.92,3.00519,283.694
7070.94,2.99891,284.68
7070.96,2.99734,287.848
7070.98,3.00205,285.648
7071,3.00205,283.977
7071.02,2.99577,283.878
7071.04,3.00048,286.242
7071.06,3.00048,282.739
7071.08,2.99577,284.051
7071.1,3.00362,283.172
7071.12,3.00048,283.273
7071.14,2.99891,289.036
7071.16,2.99891,284.465
7071.18,2.99891,284.624
7071.2,3.00048,285.96
7071.22,2.99891,284.379
7071.24,2.99734,283.409
7071.26,2.99577,283.409
7071.28,2.99891,284.279
7071.3,3.00205,284.916
7071.32,3.00048,287.454
7071.34,3.00205,283.697
7071.36,3.00362,284.502
7071.38,2.99734,287.129
7071.4,3.00205,283.853
7071.42,2.99891,285.494
7071.44,3.00205,282.683
7071.46,2.99891,283.331
7071.48,2.99577,285.516
7071.5,2.99577,285.45
7071.52,3.00048,285.101
7071.54,2.99891,284.012
7071.56,2.99734,285.072
7071.58,2.99891,285.097
7071.6,3.00048,282.499
7071.62,2.99734,284.319
7071.64,3.00048,284.038
7071.66,2.99891,287.375
7071.68,3.00205,285.283
7071.7,3.00205,283.791
7071.72,2.99891,285.09
7071.74,2.99734,285.433
7071.76,3.00362,284.501
7071.78,3.00205,284.084
7071.8,3.00205,284.63
7071.82,3.00048,282.942
7071.84,2.99891,287.438
7071.86,3.00205,286.216
7071.88,2.99891,284.36
7071.9,2.99734,285.61
7071.92,2.99891,283.326
7071.94,3.00048,283.534
7071.96,2.99891,283.741
7071.98,3.00048,283.717
7072,2.99891,286.752
7072.02,3.00362,288.165
7072.04,3.00048,284.908
7072.06,3.00205,285.148
7072.08,3.00205,285.89
7072.1,3.00362,285.254
7072.12,3.00362,283.594
7072.14,2.99891,283.878
7072.16,3.00362,284.413
7072.18,3.00048,284.004
7072.2,3.00048,288.512
7072.22,3.00205,284.399
7072.24,3.00048,285.649
7072.26,3.00205,284.718
7072.28,3.00205,285.988
7072.3,3.00048,283.835
7072.32,3.00205,284.093
7072.34,2.99734,283.748
7072.36,3.00205,285.567
7072.38,2.99577,288.296
7072.4,2.99734,284.887
7072.42,3.00048,284.647
7072.44,2.99891,286.265
7072.46,2.99734,285.339
7072.48,2.99891,286.032
7072.5,3.00048,284.76
7072.52,3.00205,284.272
7072.54,3.00362,286.31
7072.56,3.00205,285.664
7072.58,3.00205,285.421
7072.6,3.00048,284.317
7072.62,3.00048,286.397
7072.64,3.00048,284.712
7072.66,3.00205,284.39
7072.68,3.00048,286.296
7072.7,3.00048,284.198
7072.72,2.99891,289.766
7072.74,3.00048,284.734
7072.76,3.00048,285.193
7072.78,3.00205,286.172
7072.8,2.99891,284.778
7072.82,2.99891,285.858
7072.84,3.00048,282.854
7072.86,2.99734,286.968
7072.88,3.00048,284.865
7072.9,3.00519,288.083
7072.92,3.00205,285.489
7072.94,2.99734,285.647
7072.96,3.00205,285.653
7072.98,2.99891,285.845
7073,3.00362,283.868
7073.02,3.00205,284.503
7073.04,3.00048,283.596
7073.06,2.99891,285.631
7073.08,3.00205,288.435
7073.1,2.99577,286.781
7073.12,3.00362,285.174
7073.14,3.00205,284.809
7073.16,2.99734,287.862
7073.18,3.00048,283.198
7073.2,2.99734,286.144
7073.22,2.99734,283.57
7073.24,3.00205,284.627
7073.26,2.99734,288.324
7073.28,3.00205,284.328
7073.3,3.00362,286.656
7073.32,3.00362,285.708
7073.34,3.00205,285.997
7073.36,3.00205,284.331
7073.38,3.00362,284.854
7073.4,3.00048,284.837
7073.42,3.00677,287.506
7073.44,3.00205,286.433
7073.46,3.00048,284.731
7073.48,2.99577,285.674
7073.5,3.00362,285.528
7073.52,2.99734,284.43
7073.54,3.00205,287.048
7073.56,2.99891,285.073
7073.58,2.99891,286.454
7073.6,3.00205,287.89
7073.62,2.99734,285.338
7073.64,2.99891,285.363
7073.66,3.00205,284.33
7073.68,3.00205,286.792
7073.7,3.00205,284.99
7073.72,4.00483,283.96
7073.74,3.97761,284.749
7073.76,3.87709,288.59
7073.78,3.86662,294.684
7073.8,3.8729,292.74
7073.82,3.86662,297.647
7073.84,3.87499,301.611
7073.86,3.86871,305.013
7073.88,3.87081,304.974
7073.9,3.86871,309.101
7073.92,3.86871,310.173
7073.94,3.88128,316.216
7073.96,3.87918,318.081
7073.98,3.88128,318.617
7074,3.88128,322.687
7074.02,3.88756,324.624
7074.04,3.88965,324.757
7074.06,3.89175,327.955
7074.08,3.89803,329.69
7074.1,3.90431,334.777
7074.12,3.90012,335.371
7074.14,3.90641,336.135
7074.16,3.9106,338.501
7074.18,3.9106,340.384
7074.2,3.9106,340.024
7074.22,3.91897,342.895
7074.24,3.91269,346.788
7074.26,3.92525,347.072
7074.28,3.91897,347.429
7074.3,3.91897,348.805
7074.32,3.92316,350.769
7074.34,3.91897,350.163
7074.36,3.92316,352.495
7074.38,3.92316,354.566
7074.4,3.92107,358.553
7074.42,3.92735,355.953
7074.44,3.92107,358.655
7074.46,3.93154,358.668
7074.48,3.93154,358.777
7074.5,3.92735,359.747
7074.52,3.93572,361.006
7074.54,3.93991,368.012
7074.56,3.93572,362.448
7074.58,3.93991,364.863
7074.6,3.93782,364.036
7074.62,3.9441,364.399
7074.64,3.94201,367.057
7074.66,3.9462,369.237
7074.68,3.94201,369.613
7074.7,3.94201,368.896
7074.72,3.94201,370.666
7074.74,3.93782,370.073
7074.76,3.94829,369.767
7074.78,3.93991,372.789
7074.8,3.94829,375.111
7074.82,3.94201,372.693
7074.84,3.95038,373.109
7074.86,3.9462,375.843
7074.88,3.94829,374.34
7074.9,3.95248,375.103
7074.92,3.95457,374.277
7074.94,3.95457,378.224
7074.96,3.95248,376.667
7074.98,3.95457,378.466
7075,3.95457,377.989
7075.02,3.95667,376.868
7075.04,3.95667,377.319
7075.06,3.95876,379.924
7075.08,3.95876,382.704
7075.1,3.95457,379.249
7075.12,3.95038,380.706
7075.14,3.95038,379.456
7075.16,3.96085,378.869
7075.18,3.95667,380.947
7075.2,3.95876,383.882
7075.22,3.96085,382.499
7075.24,3.95876,380.996
7075.26,3.95876,385.269
7075.28,3.95876,381.559
7075.3,3.96504,381.38
7075.32,3.95876,383.807
7075.34,3.96085,385.548
7075.36,3.95876,384.981
7075.38,3.96085,384.581
7075.4,3.96504,384.639
7075.42,3.96295,382.748
7075.44,3.96923,384.308
7075.46,3.95876,388.831
7075.48,3.95876,384.443
7075.5,3.96085,384.606
7075.52,3.96714,386.522
7075.54,3.96085,387.047
7075.56,3.96295,383.925
7075.58,3.96504,385.375
7075.6,3.96085,391.596
7075.62,3.96085,386.413
7075.64,3.96295,387.407
7075.66,3.96085,386.33
7075.68,3.96923,385.122
7075.7,3.96504,386.294
7075.72,3.97133,390.313
7075.74,3.96085,388.346
7075.76,3.96923,386.485
7075.78,3.96085,389.77
7075.8,3.97133,387.276
7075.82,3.96714,386.621
7075.84,3.96923,386.518
7075.86,3.97133,392.588
7075.88,3.96714,388.703
7075.9,3.96714,389.223
7075.92,3.97133,388.678
7075.94,3.97133,386.258
7075.96,3.96504,389.893
7075.98,3.96504,391.066
7076,3.96923,388.712
7076.02,3.96714,388.638
7076.04,3.97342,392.43
7076.06,3.96923,388.536
7076.08,3.97551,387.675
7076.1,3.97133,389.826
7076.12,3.97133,392.715
7076.14,3.97342,390.776
7076.16,3.97133,389.578
7076.18,3.97342,389.918
7076.2,3.96923,389.418
7076.22,3.97551,389.441
7076.24,3.96923,393.016
7076.26,3.97133,388.429
7076.28,3.96923,390.8
7076.3,3.96714,392.06
7076.32,3.96714,389.255
7076.34,3.96085,390.687
7076.36,3.96923,391.367
7076.38,3.96714,394.177
7076.4,3.96504,388.774
7076.42,3.96714,391.684
7076.44,3.96504,391.387
7076.46,3.96295,390.374
7076.48,3.96923,389.824
7076.5,3.97342,393.512
7076.52,3.97133,390.08
7076.54,3.97133,392.523
7076.56,3.96923,392.041
7076.58,3.97133,389.124
7076.6,3.97551,390.818
7076.62,3.97342,394.582
7076.64,3.97761,392.938
7076.66,3.96714,389.568
7076.68,3.96923,392.671
7076.7,3.96714,391.737
7076.72,3.96923,389.777
7076.74,3.96923,391.221
7076.76,3.96504,394.725
7076.78,3.97342,391.273
7076.8,3.96714,392.363
7076.82,3.97133,390.311
7076.84,3.96714,390.025
7076.86,3.96504,391.937
7076.88,3.96923,395.114
7076.9,3.96923,391.439
7076.92,3.97342,391.202
7076.94,3.97342,393.988
7076.96,3.97551,390.437
7076.98,3.97133,390.393
7077,3.97133,390.598
7077.02,3.97761,395.726
7077.04,3.97133,392.626
7077.06,3.97551,391.387
7077.08,3.97133,392.738
7077.1,3.97133,389.791
7077.12,3.97342,392.035
7077.14,3.97133,395.503
7077.16,3.96923,391.687
7077.18,3.97133,393.273
7077.2,3.97342,392.769
7077.22,3.96923,389.375
7077.24,3.97133,390.835
7077.26,3.97551,394.124
7077.28,3.97551,393.542
7077.3,3.97342,391.533
7077.32,3.97761,392.617
7077.34,3.9797,392.57
7077.36,3.97551,391.175
7077.38,3.97133,389.718
7077.4,3.97342,396.106
7077.42,3.97551,391.958
7077.44,3.97342,394.391
7077.46,3.97133,391.613
7077.48,3.97133,389.987
7077.5,3.97133,392.056
7077.52,3.97133,394.541
7077.54,3.97342,391.222
7077.56,3.96923,391.286
7077.58,3.97342,395.001
7077.6,3.96923,391.613
7077.62,3.96923,389.712
7077.64,3.97342,391.925
7077.66,3.97342,395.136
7077.68,3.9797,392.977
7077.7,3.97551,391.988
7077.72,3.97551,391.37
7077.74,3.97342,392.547
7077.76,3.97551,391.368
7077.78,3.97342,394.473
7077.8,3.97342,390.209
7077.82,3.97761,393.025
7077.84,3.9797,394.07
7077.86,3.97761,389.315
7077.88,3.97133,392.939
7077.9,3.96923,392.581
7077.92,3.97133,395.258
7077.94,3.97133,390.508
7077.96,3.96923,393.492
7077.98,3.96714,391.716
7078,3.96923,392.304
7078.02,3.96923,392.006
7078.04,3.97342,393.391
7078.06,3.97133,393.214
7078.08,3.97342,392.973
7078.1,3.97761,392.363
7078.12,3.9818,389.673
7078.14,3.97551,393.308
7078.16,3.96923,396.165
7078.18,3.97761,391.528
7078.2,3.9797,392.053
7078.22,3.97761,394.546
7078.24,3.97551,391.986
7078.26,3.97551,391.815
7078.28,3.97551,391.255
7078.3,3.96923,397.751
7078.32,3.97551,391.391
7078.34,3.96923,392.142
7078.36,3.97342,392.243
7078.38,3.97342,392.852
7078.4,3.97133,391.766
7078.42,3.97342,395.393
7078.44,3.97133,392.75
7078.46,3.97761,392.454
7078.48,3.97551,395.57
7078.5,3.97342,389.313
